Date,Vegetable,Wholesale Price,Retail Min,Retail Max,Mall Min,Mall Max,Units
2022-01-01,Onion Big,37,43,47,44,61,1kg
2022-01-01,Onion Small,66,76,84,79,109,1kg
2022-01-01,Tomato,60,69,76,72,99,1kg
2022-01-01,Green Chilli,43,49,55,52,71,1kg
2022-01-01,Beetroot,50,58,64,60,83,1kg
2022-01-01,Potato,29,33,37,35,48,1kg
2022-01-01,Raw Banana,6,7,8,7,10,1kg
2022-01-01,Amaranth Leaves,16,18,20,19,26,1kg
2022-01-01,Amla,80,92,102,96,132,1kg
2022-01-01,Ash gourd,25,29,32,30,41,1kg
2022-01-01,Baby Corn,53,61,67,64,87,1kg
2022-01-01,Banana Flower,16,18,20,19,26,1kg
2022-01-01,Capsicum,45,52,57,54,74,1kg
2022-01-01,Bitter Gourd,60,69,76,72,99,1kg
2022-01-01,Bottle Gourd,23,26,29,28,38,1kg
2022-01-01,Butter Beans,43,49,55,52,71,1kg
2022-01-01,Broad Beans,66,76,84,79,109,1kg
2022-01-01,Cabbage,40,46,51,48,66,1kg
2022-01-01,Carrot,55,63,70,66,91,1kg
2022-01-01,Cauliflower,44,51,56,53,73,1kg
2022-01-01,Cluster beans,42,48,53,50,69,1kg
2022-01-01,Coconut,24,28,30,29,40,1kg
2022-01-01,Colocasia Leaves,10,12,13,12,17,1kg
2022-01-01,Colocasia,22,25,28,26,36,1kg
2022-01-01,Coriander Leaves,10,12,13,12,17,1kg
2022-01-01,Corn,26,30,33,31,43,1kg
2022-01-01,Cucumber,21,24,27,25,35,1kg
2022-01-01,Curry Leaves,5,6,6,6,8,1kg
2022-01-01,Dill Leaves,14,16,18,17,23,1kg
2022-01-01,Drumsticks,257,296,326,308,424,1kg
2022-01-01,Brinjal,56,64,71,67,92,1kg
2022-01-01,Brinjal,128,147,163,154,211,1kg
2022-01-01,Elephant Yam,28,32,36,34,46,1kg
2022-01-01,Fenugreek Leaves,10,12,13,12,17,1kg
2022-01-01,French Beans,50,58,64,60,83,1kg
2022-01-01,Garlic,106,122,135,127,175,1kg
2022-01-01,Ginger,47,54,60,56,78,1kg
2022-01-01,Onion Green,35,40,44,42,58,1kg
2022-01-01,Green Peas,45,52,57,54,74,1kg
2022-01-01,Ivy Gourd,31,36,39,37,51,1kg
2022-01-01,Lemon,40,46,51,48,66,1kg
2022-01-01,Mango Raw,73,84,93,88,120,1kg
2022-01-01,Mint Leaves,7,8,9,8,12,1kg
2022-01-01,Mushroom,84,97,107,101,139,1kg
2022-01-01,Mustard Leaves,17,20,22,20,28,1kg
2022-01-01,Ladies Finger,60,69,76,72,99,1kg
2022-01-01,Pumpkin,20,23,25,24,33,1kg
2022-01-01,Radish,37,43,47,44,61,1kg
2022-01-01,Ridge Gourd,38,44,48,46,63,1kg
2022-01-01,Shallot,29,33,37,35,48,1kg
2022-01-01,Snake Gourd,35,40,44,42,58,1kg
2022-01-01,Sorrel Leaves,12,14,15,14,20,1kg
2022-01-01,Spinach,10,12,13,12,17,1kg
2022-01-01,Sweet Potato,40,46,51,48,66,1kg
2022-01-02,Onion Big,39,45,50,47,64,1kg
2022-01-02,Onion Small,65,75,83,78,107,1kg
2022-01-02,Tomato,48,55,61,58,79,1kg
2022-01-02,Green Chilli,40,46,51,48,66,1kg
2022-01-02,Beetroot,55,63,70,66,91,1kg
2022-01-02,Potato,29,33,37,35,48,1kg
2022-01-02,Raw Banana,4,5,5,5,7,1kg
2022-01-02,Amaranth Leaves,15,17,19,18,25,1kg
2022-01-02,Amla,80,92,102,96,132,1kg
2022-01-02,Ash gourd,27,31,34,32,45,1kg
2022-01-02,Baby Corn,52,60,66,62,86,1kg
2022-01-02,Banana Flower,19,22,24,23,31,1kg
2022-01-02,Capsicum,38,44,48,46,63,1kg
