Vegetable,Wholesale Price,Retail Min,Retail Max,Mall Min,Mall Max,Units
Onion Big,23,26,29,28,38,1kg
Onion Small,46,53,58,55,76,1kg
Tomato,17,20,22,20,28,1kg
Green Chilli,45,52,57,54,74,1kg
Beetroot,28,32,36,34,46,1kg
Potato,28,32,36,34,46,1kg
Raw Banana,8,9,10,10,13,1kg
Amaranth Leaves,13,15,17,16,21,1kg
Amla,80,92,102,96,132,1kg
Ash gourd,20,23,25,24,33,1kg
Baby Corn,50,58,64,60,83,1kg
Banana Flower,15,17,19,18,25,1kg
Capsicum,42,48,53,50,69,1kg
Bitter Gourd,37,43,47,44,61,1kg
Bottle Gourd,29,33,37,35,48,1kg
Butter Beans,46,53,58,55,76,1kg
Broad Beans,31,36,39,37,51,1kg
Cabbage,17,20,22,20,28,1kg
Carrot,36,41,46,43,59,1kg
Cauliflower,29,33,37,35,48,1kg
Cluster beans,41,47,52,49,68,1kg
Coconut,65,75,83,78,107,1kg
Colocasia Leaves,14,16,18,17,23,1kg
Colocasia,30,35,38,36,50,1kg
Coriander Leaves,11,13,14,13,18,1kg
Corn,36,41,46,43,59,1kg
Cucumber,25,29,32,30,41,1kg
Curry Leaves,29,33,37,35,48,1kg
Dill Leaves,11,13,14,13,18,1kg
Drumsticks,50,58,64,60,83,1kg
Brinjal,40,46,51,48,66,1kg
Brinjal,30,35,38,36,50,1kg
Elephant Yam,38,44,48,46,63,1kg
Fenugreek Leaves,10,12,13,12,17,1kg
French Beans,47,54,60,56,78,1kg
Garlic,103,118,131,124,170,1kg
Ginger,69,79,88,83,114,1kg
Onion Green,39,45,50,47,64,1kg
Green Peas,49,56,62,59,81,1kg
Ivy Gourd,32,37,41,38,53,1kg
Lemon,59,68,75,71,97,1kg
Mango Raw,42,48,53,50,69,1kg
Mint Leaves,4,5,5,5,7,1kg
Mushroom,87,100,110,104,144,1kg
Mustard Leaves,12,14,15,14,20,1kg
Ladies Finger,35,40,44,42,58,1kg
Pumpkin,18,21,23,22,30,1kg
Radish,28,32,36,34,46,1kg
Ridge Gourd,32,37,41,38,53,1kg
Shallot,34,39,43,41,56,1kg
Snake Gourd,35,40,44,42,58,1kg
Sorrel Leaves,16,18,20,19,26,1kg
Spinach,14,16,18,17,23,1kg
Sweet Potato,54,62,69,65,89,1kg
